Title,Price,Size,Rating,Review Count,Category,Region,ABV,Body,Sweet-Dry Scale,Style,Tasting Notes,Food Pairing
Chateau Lafleur 2010,1649.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,,,,,
Chateau Mouton Rothschild Pauillac,1539.46,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Harlan Estate Cabernet 2010,1399.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Ausone Saint-Emilion 2011,1379.68,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Chateau Ausone Saint-Emilion 2007,1330.52,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Chateau Haut-Brion Pessac-Leognan,1242.50,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,Full,Dry,Big & Bold,,
Chateau Ausone Saint-Emilion 2006,1219.99,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Schrader Old Sparky Cabernet Sauvignon,1200.00,1.5L bottle,,,Cabernet Sauvignon,"California, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Harlan Estate Napa Valley Red,1200.00,750.0ml bottle,,,Bordeaux Blend,"Napa Valley, United States",,,,,,
Chateau Cheval Blanc,1118.87,750.0ml bottle,,,Bordeaux Blend,France,,,,,,
Claude Dugat Charmes Chambertin,1099.00,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Ornellaia Masseto,1025.00,750.0ml bottle,,,Bordeaux Blend,,,,,,,
Chateau D'Yquem 2005,999.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Chateau Haut-Brion Blanc Pessac-Leognan,999.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,,,,,
Chateau Latour Pauillac 2006,927.99,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Domaine Anne Gros Richebourg Grand Cru,899.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,,,,,
Harlan Estate Cabernet Sauvignon,800.00,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau D'yquem 2001,799.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Penfolds Grange Shiraz,769.99,750.0ml bottle,,,Syrah / Shiraz,Australia,,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Chateau Lafleur 2012,739.99,750.0ml bottle,,,Bordeaux Blend,France,,,,,,
Chateau Margaux,730.24,750.0ml bottle,,,Bordeaux Blend,"Margaux, France",0.14,,,,,
Armand De Brignac Ace of Spades Blanc de Blancs Champagne,703.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.13,,,,,
Chateau Rayas Chateauneuf Du Pape,699.99,750.0ml bottle,,,Rhone Blend,"Rhone, France",,,,,,
Chateau D'Yquem 2006,694.99,750.0ml bottle,,,Semillon,France,,Full,,,,
Marc Gagnard Montrachet 2011,691.60,750.0ml bottle,,,Chardonnay,"Burgundy, France",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Vega Sicilia Unico Reserva Especial,650.00,750.0ml bottle,,,Tempranillo,"Castilla y Leon, Spain",0.14,Medium,Dry,Sweet & Smooth,,"Tomatoes, Cured Meats"
Scarecrow Cabernet Sauvignon,649.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,,,,,
Coche Dury Meursault,610.00,750.0ml bottle,,,Chardonnay,"Burgundy, France",0.13,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Araujo Eisele Vineyard Cabernet Sauvignon 2004,607.24,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Beaucastel Cdp Hom J Perrin,602.56,750.0ml bottle,,,Grenache / Garnacha / Cannonau,"Rhone, France",0.14,Medium,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Domaine Dugat-Py Mazoyeres-Chambertin Grand Cru,600.00,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Quinta Do Noval Vintage Nacional Porto 2001,599.99,750.0ml bottle,,,Port Blend,,,,Sweet,,,
Chateau Mouton Rothschild,599.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.13,,,,,
Chateau Pichon Lalande Pauillac,599.99,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Soldera Brunello,572.50,750.0ml bottle,,,Sangiovese,,,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Gaja Costa Russi,565.00,750.0ml bottle,,,Nebbiolo,,,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Chateau d'Yquem 2009,560.00,750.0ml bottle,,,Bordeaux Blend,France,0.14,,,,,
Chateau Cheval Blanc St Emilion 2014,559.99,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Bond St Eden,559.97,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Dugat-Py Charmes-Chambertin Grand Cru,552.62,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Billecart Salmon Clos St. Hilaire,549.98,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Gaja Sori Tilden Nebbiolo 2009,542.63,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Gaja Sori Lorenzo Nebbiolo 2011,542.63,750.0ml bottle,,,Nebbiolo,Italy,0.14,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Bryant Family Proprietary Red,540.00,750.0ml bottle,,,Red Blend,"Napa Valley, United States",,,,,,
Gaja Sori San Lorenzo,535.99,750.0ml bottle,,,Nebbiolo,,,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Chapoutier Ermitage L'ermite Rge 2013,534.21,750.0ml bottle,,,Syrah / Shiraz,"Rhone, France",0.14,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Salon Cuvee 'S' Le Mesnil Blanc de Blancs Champagne,529.99,750.0ml bottle,,,Chardonnay,"Champagne, France",0.12,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Chateau Ausone St Emilion 2014,529.98,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Jd Chamb Clos Beze Gr Cru Df,525.00,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Slwc Slv Cabernet,524.99,1.5L bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Paul Hobbs Cabernet Sauvignon To-Kalon 2013,524.54,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Bryant Family Cabernet Sauvignon,500.00,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Hundred Acre Cabernet Kayli Morgan,499.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Schrader Cabernet Rbs To Kalon,499.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Biondi-Santi Brunello Di Montalcino DOCG  Riserva,499.99,750.0ml bottle,,,Brunello,"Tuscany, Italy",0.14,,Dry,Big & Bold,"Berry, Bold, Cherry, Dark Fruit, Herbal, Pepper","Beef, Cheese Blue, Lamb"
Armand De Brignac Brut Rose,499.99,750.0ml bottle,,,Sparkling Rose Wine,France,,,,,,
10 Span S Barb Chardonnay Keg,489.99,19.5L keg,,,Chardonnay,"California, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Schrader Beckstoffer To Kalon RBS Cabernet Sauvignon,479.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Angelus St Emilion 2010,469.98,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Simi Alex Cabernet Keg,465.98,19.5L bottle,,,Cabernet Sauvignon,"Alexander Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Paul Hobbs Cabernet Sauvignon To-Kalon,464.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Armand de Brignac Ace of Spades Demi-Sec,459.99,750.0ml bottle,,,Champagne,France,,,,,,
Verite La Joie Sonoma County Red Blend,458.99,750.0ml bottle,,,Red Blend,"Sonoma County, United States",0.14,,Dry,,"Herbal, Mint, Red Fruit, Supple","Beef, Cheese Blue, Lamb, Mushrooms"
Bruno Giacosa Barbaresco Asili Doc,450.00,750.0ml bottle,,,Nebbiolo,,,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Faiveley Chamb Clos Beze Ouvrees,450.00,750.0ml bottle,,,Pinot Noir,France,0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Bond Pluribus,449.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Domaine Roulot Meursault 1er Cru Clos Des Boucheres,449.99,750.0ml bottle,,,Chardonnay,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Miner Oracle Vertical,449.99,750.0ml bottle,,,Gruner Veltliner,"Napa Valley, United States",,Light,Dry,Fruity & Crisp,,"Chicken, Shellfish, Cheese Creamy & Bloomy"
Jadot Chambertin Clos de Beze,449.99,750.0ml bottle,,,Pinot Noir,France,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Bernstein Mazis-Chambertin Grand Cru,449.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,,,,,
Piper Heidsieck Rare Rose,449.99,750.0ml bottle,,,Sparkling Rose Wine,"Champagne, France",0.12,,Semi-Sweet / Off-Dry,,"Citrus, Dark Fruit, Earthy, Minerality, Smoky, Vanilla, Velvety","Cheese Creamy & Bloomy, Cheese Fresh & Soft, Cheese Nutty & Semi-Firm, Fish Meaty & Oily, Pork, Shellfish"
Acrobat Oregon Pinot Noir Keg,445.12,19.5L bottle,,,Pinot Noir,"Oregon, United States",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau D'Yquem 2011,429.99,750.0ml bottle,,,Semillon,France,,Full,,,,
Guillaume Selosse Largillier Extra Brut Champagne,428.92,750.0ml bottle,,,Champagne,,,,,,,
Meo Camuzet Vosne Romanee Brulees,424.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau Palmer Margaux,424.98,750.0ml bottle,,,Bordeaux Blend,"Margaux, France",0.15,,,,,
Chateau de Valandraud Saint Emilion 2003,423.47,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
"Sine Qua Non ""Stein"" Central Coast Grenache",422.49,750.0ml bottle,,,Grenache / Garnacha / Cannonau,,,Full,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Dom Perignon Vintage Champagne 1998 P2 Gift Box,400.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.13,,,,,
Jd Batard Montrachet  Gr Cru,400.04,750.0ml bottle,,,Chardonnay,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Chateau Latour Grand Vin 1964,400.00,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Argiano Brunello Riserva,399.99,750.0ml bottle,,,Brunello,,,,,,,
Domaine Des Comtes Lafon Genevrieres Meursault Premier Cru,399.99,750.0ml bottle,,,Chardonnay,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Chateau Vieux Chateau Certan Pomerol,399.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.13,,,,,
Chateau D'yquem 1989,399.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Chateau Pichon Lalande Pauillac 2005,399.99,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Chateau Angelus St Emilion,399.99,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",0.14,,,,,
Ovid Hexameter Napa Valley Red ,399.99,750.0ml bottle,,,Red Blend,"Napa Valley, United States",,,,,,
Dom Perignon Rose Vintage Champagne,399.99,750.0ml bottle,,,Sparkling Rose Wine,"Champagne, France",0.13,,,,,
Armand De Brignac Ace of Spades Rose Champagne,399.99,750.0ml bottle,,,Champagne Blend,France,0.13,,,,,
Poggio Di Sotto Brunello Di Montalcino Riserva 2010,397.50,750.0ml bottle,,,Sangiovese,"Tuscany, Italy",0.14,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Dom Perignon Lenny Kravitz Limited Edition Rose Vintage Champagne,392.49,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.13,Medium,Dry,,,
Chapoutier Ermitage Le Pavillon 2013,389.99,750.0ml bottle,,,Rhone Blend,,,,,,,
Dom Perignon Rose Gift Set Vintage Champagne,389.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.13,,,,,
Bond Vecina Napa Red,385.00,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Araujo Eisele Vineyard Cabernet Sauvignon 2007,385.00,750.0ml bottle,,,Cabernet Sauvignon,"California, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Dal Forno Romano Amarone della Valpolicella DOCG,379.99,750.0ml bottle,,,Corvina,,0.17,Medium,Dry,Big & Bold,"Bold, Cherry, Chocolate, Coffee, Dark Fruit, Toasty","Beef, Pasta"
Guigal Cote Rotie La Turque 2006,379.95,750.0ml bottle,,,Rhone Blend,,,,,,,
Louis Jadot Chambertin Grand Cru 2012,379.27,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Lokoya Spring Mountain Cabernet Sauvignon,378.10,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Cherry, Dark Fruit, Minerality, Rose Petal, Supple","Beef, Duck & Game Bird"
Lokoya Howell Mountain Cabernet Sauvignon,378.10,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Berry, Chocolate, Pine, Rich","Beef, Duck & Game Bird"
Casanova Di Neri Brunello Cerretal,375.00,750.0ml bottle,,,Sangiovese,,,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Krug Rose Champagne,375.00,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.12,,,,,
Krug Rose,369.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",,,,,,
Veuve Clicquot La Grande Dame Rose 2006,362.99,750.0ml bottle,,,Champagne Blend,France,0.13,,,,,
Araujo Cabernet 2008,357.50,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Pavie,353.92,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Verite La Muse Sonoma County Red Blend,352.78,750.0ml bottle,,,Red Blend,"Sonoma County, United States",0.14,,Dry,,"Citrus, Earthy, Fruity, Leather, Red Fruit, Spicy, Stone Fruit, Supple, Vanilla","Cured Meats, Duck & Game Bird, Pork"
Verite Le Desir Sonoma County Red Blend,352.77,750.0ml bottle,,,Red Blend,"Sonoma County, United States",0.14,Full,Dry,Big & Bold,"Dark Fruit, Floral, Herbal, Mint, Rich, Supple, Velvety","Beef, Cheese Blue, Duck & Game Bird, Root Vegetables"
Veuve Clicquot La Grande Dame Blanc 2004 Gift Box,352.00,750.0ml bottle,,,Champagne Blend,France,0.12,,,,,
Araujo Eisele Vineyard Cabernet Sauvignon 2005,350.00,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Opus One,349.99,750.0ml bottle,,,Bordeaux Blend,"Napa Valley, United States",0.15,,,,,
Chateau Figeac Saint Emilion Grand Cru,349.99,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Chateau D'yquem 1997,349.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Chateau Montrose St Estephe 2010,349.99,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Chapoutier Ermitage Le Pavillon 2014,349.99,750.0ml bottle,,,Syrah / Shiraz,,,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
La Mondotte Saint-Emilion Grand Cru,346.08,750.0ml bottle,,,Bordeaux Blend,"Saint-Emilion, France",,,,,,
Penfolds Bin 707 Cabernet Sauvignon 2010,340.52,750.0ml bottle,,,Cabernet Sauvignon,"South Australia, Australia",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Le Chemin Du Roi Brut Rose,340.52,750.0ml bottle,,,Rose Wine,"Champagne, France",,,,,,
Chateau Leoville Las Cases St. Julien 2010,339.98,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Vega Sicilia Unico,339.20,750.0ml bottle,,,Tempranillo,"Castilla y Leon, Spain",0.14,Medium,Dry,Sweet & Smooth,,"Tomatoes, Cured Meats"
Liberty School Cabernet Keg,332.50,19.0L bottle,,,Cabernet Sauvignon,"Paso Robles, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Liberty School Chardonnay Keg,332.50,19.0L bottle,,,Chardonnay,"Central Coast, United States",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Acrobat Oregon Pinot Gris Keg,331.18,19.5L bottle,,,Pinot Grigio,"Oregon, United States",0.13,Light,Dry,,,"Shellfish, Salads & Greens"
"Antinori Tenuta Tignanello ""Solaia"" Toscana Rosso",329.99,750.0ml bottle,,,Cabernet Sauvignon,"Tuscany, Italy",0.14,Full,Dry,Big & Bold,"Chocolate, Dark Fruit, Herbal, Mint, Silky, Smooth","Beef, Duck & Game Bird"
Krug Brut Vintage,329.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",,,,,,
Louis Roederer Cristal Gift Flutes,329.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Armand De Brignac NV,329.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Le Clarence de Haut-Brion,325.00,750.0ml bottle,,,Bordeaux Blend,France,0.13,,,,,
Chateau Montrose Saint-Estephe 1989,325.00,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Shafer Cabernet Hillside Select,319.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Pavillon Rouge Margaux 2009,319.99,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Domaine Belland Criots Batard Montrachet Grand Cru,319.98,750.0ml bottle,,,Chardonnay,,0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Lokoya Diamond Mountain District Cabernet Sauvignon,319.23,750.0ml bottle,,,Cabernet Sauvignon,"Napa County, United States",0.15,Full,Dry,Big & Bold,"Chocolate, Dark Fruit, Rich, Tobacco","Beef, Duck & Game Bird"
Gaja Darmagi Cabernet,319.19,750.0ml bottle,,,Cabernet Sauvignon,Italy,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Louis Roederer Cristal Gift Box,318.98,750.0ml bottle,,,Champagne,"Champagne, France",0.12,,,,,
La Chapelle de la Mission Haut Brion 2010,317.68,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Krug Brut 2003 Vintage,314.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.12,,,,,
"Sine Qua Non ""Ratsel"" California Syrah",312.50,750.0ml bottle,,,Syrah / Shiraz,"California, United States",,Medium,Dry,Earthy & Spicy,,
Perrier- Jouet Rose,310.00,750.0ml bottle,,,Champagne Blend,France,,,,,,
Armand De Brignac Ace of Spades Brut Gold Champagne,308.31,750.0ml bottle,5,(1 Reviews),Champagne Blend,"Champagne, France",0.13,,,,,
Kobalt Cabernet Sauvignon Napa Valley Vertical 2011 2013,300.00,3 pack,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Domaine Jean-Louis Chave Hermitage,300.00,750.0ml bottle,,,Rhone Blend,"Rhone, France",,,,,,
Hundred Acre Wraith Cabernet Sauvignon,299.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Cardinale Cabernet Sauvignon,299.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Cherry, Dark Fruit, Minerality, Toasty, Vanilla","Beef, Duck & Game Bird"
Paul Hobbs Cabernet Las Piedras,299.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Armand de Brignac Ace of Spades Golfer's Limited Edition Brut Champagne,299.99,750.0ml bottle,,,Champagne Blend,France,,,,,,
Domaine Leflaive Puligny-Montrachet Les Folatieres,299.99,750.0ml bottle,,,Chardonnay,"Burgundy, France",0.13,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Chateau Rayas Pignan Chateauneuf Du Pape,299.99,750.0ml bottle,,,Grenache / Garnacha / Cannonau,"Rhone, France",,Medium,Dry,Fruity & Light,,"Beef, Duck & Game Bird"
Domaine Faiveley Echezeaux Grand Cru 2013,299.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Jadot Chapelle Chambertin 2009,299.99,750.0ml bottle,,,Pinot Noir,,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Domaine Bruno Clavelier Les Corbeaux Gevrey-Chambertin,299.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,,Dry,Fruity & Light,,
Chateau La Conseillante Pomerol,299.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,,,,,
Chateau Lynch Bages Pauillac 2013,299.99,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Finca Allende Aurus Rioja,299.99,750.0ml bottle,,,Rioja Blend,"Rioja, Spain",,,,,,
Chateau Montrose St Estephe 2005,299.98,750.0ml bottle,,,Bordeaux Blend,,0.13,,,,,
Pol Roger Cuvee Winston,299.88,750.0ml bottle,,,Champagne,"Champagne, France",0.13,,,,,
Damoy Chambertin Clos de Beze Grand Cru 2013,298.76,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau Lynch Bages Pauillac 2005,296.99,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
Pol Roger Cuvee Sir Winston Churchill Champagne,294.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Acrobat Rose Pinot Noir 2013,292.75,19.5L keg,,,Pinot Noir,"Oregon, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Gaja Sperss Nebbiolo 2010,292.21,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Chateau Angelus St Emilion 2012,289.99,750.0ml bottle,,,Bordeaux Blend,,0.14,,,,,
